location,followers,comments,coordinates,language,geometry,sentiment
,10,jo vaig flipar i disfrutar peti molt algun moment crack,,ca,"[[[2.206149, 41.408955], [2.206149, 41.434844], [2.238532, 41.434844], [2.238532, 41.408955]]]",0
"Berlin, MD",184,holy and wonder kept control need national mask mandate,,en,"[[[-79.487651, 37.886607], [-79.487651, 39.723622], [-74.986286, 39.723622], [-74.986286, 37.886607]]]",2
"Kansas City, MO",423,they said got covid nails,,en,"[[[-94.733122, 38.868002], [-94.733122, 39.332095], [-94.385441, 39.332095], [-94.385441, 38.868002]]]",2
"Badalona, URSS",12465,go,,en,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
My fortress-like compound,5085,in hyperbaric definitely buying,,en,"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",2
"Hendersonville, TN",23543,so sad we need retrain police force use lethal force last,,en,"[[[-86.674887, 36.248263], [-86.674887, 36.366587], [-86.495313, 36.366587], [-86.495313, 36.248263]]]",2
"South Carolina, USA",41,my mom dad paid much us go polar express year i seen pictures santa face,,en,"[[[-83.353955, 32.04683], [-83.353955, 35.215449], [-78.499301, 35.215449], [-78.499301, 32.04683]]]",2
"Reno, Nevada",1788,update,,en,"[[[-119.953849, 39.350749], [-119.953849, 39.674123], [-119.700515, 39.674123], [-119.700515, 39.350749]]]",2
,973,nombre altre nombre hi infinites possibilitats mai veurem els càlculs són,,ca,"[[[2.187074, 41.433463], [2.187074, 41.47346], [2.222536, 41.47346], [2.222536, 41.433463]]]",0
"London, United Kingdom",138031,confirmed coronavirus cases increase,POINT (-0.12485951 51.50538967),en,"[[[-0.187894, 51.483718], [-0.187894, 51.516466], [-0.109978, 51.516466], [-0.109978, 51.483718]]]",2
"Barcelona, Espanya",445,km superfície,POINT (2.183333 41.383333),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1
"Los Angeles, California",33,people likely come closer contact family might,,en,"[[[-118.250227, 33.732905], [-118.250227, 33.885438], [-118.063194, 33.885438], [-118.063194, 33.732905]]]",2
Madrid | Barcelona (Spain),54,hoy sala a personalización relación cliente nuevo reto,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1
"Tampa, FL",254261,última hora coronavirus madrid plantea ampliar reuniones personas navidad,,es,"[[[-87.634643, 24.396308], [-87.634643, 31.001056], [-79.974307, 31.001056], [-79.974307, 24.396308]]]",1
"Los Angeles, CA",1463,back home city actually lockdown upset dispensaries closed,,en,"[[[-118.317804, 33.916377], [-118.317804, 33.931268], [-118.291514, 33.931268], [-118.291514, 33.916377]]]",2
"Barcelona, Spain",1694,bichota mood,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
,44,i sick people claim rights refuse wear mask,,en,"[[[-81.046876, 35.001706], [-81.046876, 35.416412], [-80.646695, 35.416412], [-80.646695, 35.001706]]]",2
Stinky Boot,167,this even joke,,en,"[[[-72.88753, 41.396625], [-72.88753, 41.516538], [-72.746075, 41.516538], [-72.746075, 41.396625]]]",
"San Diego, CA",1,lady assaulted gay man bc mask min sniffed colognes macys,,en,"[[[-117.282538, 32.53962], [-117.282538, 33.080404], [-116.92744, 33.080404], [-116.92744, 32.53962]]]",2
"Berruguete, 126 - BARCELONA",714,alimara conecta hasta participantes virtuales asistentes,,es,"[[[2.14736, 41.433939], [2.14736, 41.433939], [2.14736, 41.433939], [2.14736, 41.433939]]]",0
"Sants, Barcelona, Catalunya ",1336,,,ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
"Branford, CT",922,more restaurants closed since beginning connecticut restaurant,,en,"[[[-72.864342, 41.248445], [-72.864342, 41.324367], [-72.731485, 41.324367], [-72.731485, 41.248445]]]",2
Paraguay,138,cierto,,es,"[[[-57.81535, -25.984291], [-57.81535, -25.108891], [-57.155006, -25.108891], [-57.155006, -25.984291]]]",0
Kampala Uganda,112,driwale assistant commisioner vaccines immunization registrar,,en,"[[[32.416623, 0.164853], [32.416623, 0.413682], [32.721697, 0.413682], [32.721697, 0.164853]]]",2
"Northfield, MN",2625,i guess i maaaaaybe mild cold course omg is it this not even,,en,"[[[-93.201231, 44.422625], [-93.201231, 44.47687], [-93.127284, 44.47687], [-93.127284, 44.422625]]]",2
"Reno, NV",624,just board members voted secondary students washoe county school district temporarily,,en,"[[[-119.953849, 39.350749], [-119.953849, 39.674123], [-119.700515, 39.674123], [-119.700515, 39.350749]]]",2
"Geneva, Switzerland",1424,thank guidance support worked african countries,,en,"[[[7.19246, 46.416068], [7.19246, 46.583965], [7.387162, 46.583965], [7.387162, 46.416068]]]",1
"Nairobi, Kenya",8688,imagine people dying last moments still believe hoax bc said tragic horrifying,,en,"[[[36.664573, -1.389053], [36.664573, -1.160674], [37.062667, -1.160674], [37.062667, -1.389053]]]",2
,168,covid spike delhi due to delhi covid situation international travel students,,en,"[[[72.80161, 19.16162], [72.80161, 19.593413], [73.03441, 19.593413], [73.03441, 19.16162]]]",2
,48,el debe considerarse contexto modelo ve síntomas,,es,"[[[-0.454832, 38.384924], [-0.454832, 38.427349], [-0.406641, 38.427349], [-0.406641, 38.384924]]]",0
,157,a merkel mirado vídeo muy vale pena,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1
"Ginebra, Suiza",2151,will see goes,,en,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
"Berruguete, 126 - BARCELONA",714,alimara conecta hasta participantes virtuales asistentes,,es,"[[[2.14736, 41.433939], [2.14736, 41.433939], [2.14736, 41.433939], [2.14736, 41.433939]]]",0
Barcelona - Alicante,35086,quitándote ansiedad llevas,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
"Barcelona, España",401,bala cañon,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
Bogotá 📍,955,pasa,,es,"[[[-74.483289, 3.717432], [-74.483289, 4.807135], [-74.004053, 4.807135], [-74.004053, 3.717432]]]",2
,4552,interesting,,en,"[[[-123.478699, 48.433384], [-123.478699, 48.559067], [-123.262977, 48.559067], [-123.262977, 48.433384]]]",
,41,han tetodo independentista falsos,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
Lahore / Chishtian,7275,this mindset nafisah shah this mindset whole,,en,"[[[69.328873, 27.708226], [69.328873, 34.019989], [75.382124, 34.019989], [75.382124, 27.708226]]]",2
"London, sadly not Gods County",1483,looks like prediction coming no vaccination international,,en,"[[[-0.254269, 51.379947], [-0.254269, 51.441804], [-0.124309, 51.441804], [-0.124309, 51.379947]]]",2
"Zhuji, Zhejiang, China",31,children super comfortable good quality,,en,"[[[117.998322, 27.14303], [117.998322, 31.176662], [122.65458, 31.176662], [122.65458, 27.14303]]]",1
"Washington Heights, Manhattan",589,mask on my,,en,"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",2
"Barcelona, España",345,el planeta llama roshar,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1
"Red Sea, Egypt",1867,,POINT (32.5491 29.9722),en,"[[[31.860555, 28.965008], [31.860555, 30.303674], [32.834287, 30.303674], [32.834287, 28.965008]]]",
,766,great,,en,"[[[-112.93618, 49.620144], [-112.93618, 49.756615], [-112.756536, 49.756615], [-112.756536, 49.620144]]]",
,1632,uno sigo endiosado refiriendose tío sigue javier negre es,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
Barcelona,496,gracias trabajazo hacéis frliz ser parte familia yaq,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1
Huelva ,1939,empiece administrarse vacuna disminuirá,,es,"[[[-6.905559, 37.296437], [-6.905559, 37.403855], [-6.752417, 37.403855], [-6.752417, 37.296437]]]",0
Wherever ,997,please resign take wretched government you,,en,"[[[-2.336433, 52.369428], [-2.336433, 52.38494], [-2.296028, 52.38494], [-2.296028, 52.369428]]]",2
Barcelona,269,a classe dels estan treballant els vius i per grups pintat els els,,ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1
,41,son igualitos,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
"Portsmouth, NH",2068,nhs covid death rate that astronomically high scary really,,en,"[[[-71.014742, 43.239714], [-71.014742, 43.378501], [-70.905946, 43.378501], [-70.905946, 43.239714]]]",0
Barcelona,83,verdad invención,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
,1411,se sienta en la mesa de ponerse hacer cálculos dejar tío plasta cuñada,,es,"[[[-2.98601, 43.213654], [-2.98601, 43.290145], [-2.880325, 43.290145], [-2.880325, 43.213654]]]",0
San Juan del Puerto (Huelva),2651,empiece administrarse vacuna disminuirá,,es,"[[[-6.905559, 37.296437], [-6.905559, 37.403855], [-6.752417, 37.403855], [-6.752417, 37.296437]]]",0
,822,street hb i vouch bad everywhere hb,,en,"[[[-118.082615, 33.628991], [-118.082615, 33.756093], [-117.91485, 33.756093], [-117.91485, 33.628991]]]",2
,91,,,en,"[[[-122.436232, 47.495315], [-122.436232, 47.734319], [-122.224973, 47.734319], [-122.224973, 47.495315]]]",
"Lynwood, CA",406,it sucks i seeing family thanksgiving possibly please pray,,en,"[[[-117.834663, 34.018283], [-117.834663, 34.112618], [-117.711171, 34.112618], [-117.711171, 34.018283]]]",2
"Barcelona, España",12,no q ser estém criteri per favor,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
,170,great demonstration minimise risk continue live life little,,en,"[[[-2.142873, 51.861864], [-2.142873, 51.930763], [-2.032676, 51.930763], [-2.032676, 51.861864]]]",1
,559,not helpful,,en,"[[[-122.790065, 45.421863], [-122.790065, 45.650941], [-122.471751, 45.650941], [-122.471751, 45.421863]]]",0
Nigeria,3923,if care may hit post covid manufacturing rush,,en,"[[[5.02008, 5.010849], [5.02008, 6.502068], [6.768461, 6.502068], [6.768461, 5.010849]]]",2
Barcelona,3193,vivimos sabía coldplay nueva,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
"Peace River, Alberta",337,i love loudest chirpers social ruining,,en,"[[[-120.001814, 56.245924], [-120.001814, 58.080828], [-116.914563, 58.080828], [-116.914563, 56.245924]]]",1
,556,seguro opinan mismo familiares fallecidos covid atendidos,,es,"[[[-3.80752, 40.202103], [-3.80752, 40.255894], [-3.733381, 40.255894], [-3.733381, 40.202103]]]",2
xanthophilia,625,beautiful ply premium mask available men we even headloop mask,,en,"[[[101.73111, 3.149887], [101.73111, 3.297668], [101.849109, 3.297668], [101.849109, 3.149887]]]",2
Islamabad,228,is,,en,"[[[73.022194, 33.662724], [73.022194, 33.762138], [73.131447, 33.762138], [73.131447, 33.662724]]]",2
Spain,19422,the covid recovery group threatens recovery covid the crg like,,en,"[[[0.153375, 40.203354], [0.153375, 40.393417], [0.32228, 40.393417], [0.32228, 40.203354]]]",2
"Hyderabad, India",532,new positive discharges no death reported till now,,en,"[[[78.426176, 17.234568], [78.426176, 17.495638], [78.770343, 17.495638], [78.770343, 17.234568]]]",1
,188,corazón quieren sólo corazón francisco quevedo vía,,es,"[[[2.086323, 41.336062], [2.086323, 41.380548], [2.137433, 41.380548], [2.137433, 41.336062]]]",2
Asturias,11900,españa supera muertos da,,es,"[[[-5.948078, 43.553966], [-5.948078, 43.659232], [-5.76759, 43.659232], [-5.76759, 43.553966]]]",2
Asgardia,12972,y psicologico tambien,,es,"[[[2.086323, 41.336062], [2.086323, 41.380548], [2.137433, 41.380548], [2.137433, 41.336062]]]",0
"Badalona, Espanya",650,ni,,ca,"[[[2.211092, 41.42594], [2.211092, 41.492681], [2.270008, 41.492681], [2.270008, 41.42594]]]",0
Netherlands,151,south faroe russia us reported cases,,en,"[[[4.190347, 52.014871], [4.190347, 52.138865], [4.422444, 52.138865], [4.422444, 52.014871]]]",2
South West,55058,chancellor says planning but still using pandemic excuse,,en,"[[[-2.272842, 51.721517], [-2.272842, 51.769296], [-2.190976, 51.769296], [-2.190976, 51.721517]]]",2
Barcelona,123,ya levantarte mañana ir hacer cola comisaría poder,,es,"[[[1.999829, 41.415036], [1.999829, 41.519488], [2.129965, 41.519488], [2.129965, 41.415036]]]",2
venezuela,34,si entregara cuadro bicicleta medio criticarlo,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
Gville ➡️ Ridgeland,1028,my mom virgo blueprint i stand female we get along,,en,"[[[-90.181179, 32.399351], [-90.181179, 32.459434], [-90.067498, 32.459434], [-90.067498, 32.399351]]]",2
"Malibu, CA",76,does research really support notion outdoor dining fueling spread,,en,"[[[-118.873235, 34.000405], [-118.873235, 34.04779], [-118.584559, 34.04779], [-118.584559, 34.000405]]]",2
"Barcelona, España",729,gaudir aprenent i per construir,,ca,"[[[2.157388, 41.414316], [2.157388, 41.414316], [2.157388, 41.414316], [2.157388, 41.414316]]]",1
"Barcelona, España",12,son mismos q defendieron,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
,1307,odd deal deserve mention discussion finance situation given,,en,"[[[-6.036116, 54.543241], [-6.036116, 54.648497], [-5.82071, 54.648497], [-5.82071, 54.543241]]]",2
,67,mi tío grave covid camas disponibles hospitalizar oxígeno tenia,,es,"[[[-83.051445, 7.20386], [-83.051445, 9.639486], [-77.13939, 9.639486], [-77.13939, 7.20386]]]",0
blackwood ni,234,santa want something used fits wallet,,en,"[[[-75.088811, 39.726424], [-75.088811, 39.852636], [-74.968468, 39.852636], [-74.968468, 39.726424]]]",2
,58727,aquest abandonament seva sort i autònoms està essent percebut com desistiment,,ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
"Barcelona, España",90,mis si gusta catalunya,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
"Portland, OR",525,a relaxing exam paint sesh would gone my rendition,,en,"[[[-122.790065, 45.421863], [-122.790065, 45.650941], [-122.471751, 45.650941], [-122.471751, 45.421863]]]",2
Barcelona,1670,en hicieron interesante estudio a tener cuenta,,es,"[[[2.086323, 41.336062], [2.086323, 41.380548], [2.137433, 41.380548], [2.137433, 41.336062]]]",1
"Barcelona, España",64,la periodista sansebastian tan derechista rictus cara,,es,"[[[2.086323, 41.336062], [2.086323, 41.380548], [2.137433, 41.380548], [2.137433, 41.336062]]]",0
"Gloucester, England",507,please read thread entirety,,en,"[[[-2.28129, 51.821982], [-2.28129, 51.884201], [-2.177545, 51.884201], [-2.177545, 51.821982]]]",2
República Catalana,1068,donald,,en,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
"Barcelona, España.",120,el render imitar,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
,198,covidiots thinking smarter year,,en,"[[[-113.693259, 37.146358], [-113.693259, 37.188502], [-113.651627, 37.188502], [-113.651627, 37.146358]]]",
"Barcelona, España",35,jajaja pilladas trampas,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
"Broadstairs, England",61,liverpool find loophole covid rules salah returns days positive,,en,"[[[1.043809, 51.25326], [1.043809, 51.300251], [1.136462, 51.300251], [1.136462, 51.25326]]]",2
,644,um ok nvm three staff tested positive covid,,en,"[[[-156.359376, 20.804118], [-156.359376, 20.850458], [-156.318233, 20.850458], [-156.318233, 20.804118]]]",1
,52,brahmin left,,en,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
"Sacramento, CA",1326,family dead publix worker files lawsuit alleging grocery chain stopped wearing face,,en,"[[[-121.576613, 38.43792], [-121.576613, 38.685524], [-121.362715, 38.685524], [-121.362715, 38.43792]]]",2
United Kingdom,728,my daughter carer helped duty yesterday shovelling coal elderly ladies however got,,en,"[[[-1.1498, 51.222613], [-1.1498, 51.303039], [-1.039377, 51.303039], [-1.039377, 51.222613]]]",2
Barcelona,99,,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
Barcelona,1670,puede salir ironía modo on,,es,"[[[-18.160695, 27.63775], [-18.160695, 43.790388], [4.327985, 43.790388], [4.327985, 27.63775]]]",0
Australia,955,literally definition i heard,,en,"[[[152.668523, -27.767441], [152.668523, -26.996845], [153.31787, -26.996845], [153.31787, -27.767441]]]",2
"Warwick, RI",81647,he blocked safe act securing he blocked heroes act providing vital relief,,en,"[[[-71.518925, 41.629501], [-71.518925, 41.76838], [-71.354415, 41.76838], [-71.354415, 41.629501]]]",1
"Ankara, Türkiye",171,negative depression positive,,en,"[[[32.783577, 39.957727], [32.783577, 40.043205], [32.900297, 40.043205], [32.900297, 39.957727]]]",0
Cardiff & Barcelona,483,massive good wondering embracing failure,,en,"[[[1.999829, 41.415036], [1.999829, 41.519488], [2.129965, 41.519488], [2.129965, 41.415036]]]",0
"El Paso, Texas ",2023,i speak others i tell i wear mask i sanitize,,en,"[[[-106.634874, 31.620668], [-106.634874, 31.966068], [-106.199987, 31.966068], [-106.199987, 31.620668]]]",2
,33,good hope,,en,"[[[-1.498746, 54.988178], [-1.498746, 55.067841], [-1.417312, 55.067841], [-1.417312, 54.988178]]]",
"Haverfordwest, Wales, UK",2215,sorry calling eventual us fatalities reach pandemic,,en,"[[[-5.00763, 51.784003], [-5.00763, 51.818157], [-4.952157, 51.818157], [-4.952157, 51.784003]]]",0
Parts Unknown,658,so i guess birthday alone since covid is a b,,en,"[[[-79.76259, 40.477383], [-79.76259, 45.015851], [-71.777492, 45.015851], [-71.777492, 40.477383]]]",2
"Pacifica, CA",424,who cares fraud mask hand sanitizer,,en,"[[[-122.515276, 37.565624], [-122.515276, 37.666566], [-122.442863, 37.666566], [-122.442863, 37.565624]]]",
East Midlands,594,not science whatever need right if get,,en,"[[[-1.408026, 53.068076], [-1.408026, 53.082102], [-1.379386, 53.082102], [-1.379386, 53.068076]]]",2
Barcelona,2844,reto bravo tocando horas seguidas pieza erik,,es,"[[[2.173606, 41.380713], [2.173606, 41.380713], [2.173606, 41.380713], [2.173606, 41.380713]]]",0
widnes,4271,the fbi hate trump cia hate trump china hate trump blm hate trump media hate,,en,"[[[-2.784107, 53.341503], [-2.784107, 53.395284], [-2.697338, 53.395284], [-2.697338, 53.341503]]]",0
Barcelona,19361,es demasiado doblaría tiempo propio peso ser entablille,,es,"[[[2.086323, 41.336062], [2.086323, 41.380548], [2.137433, 41.380548], [2.137433, 41.336062]]]",2
Sevilla,2063,muy buenos noviembre fun nacido,,es,"[[[-6.02843, 37.313613], [-6.02843, 37.452783], [-5.81866, 37.452783], [-5.81866, 37.313613]]]",1
City of the fallen angels,966,and magically disappear,,en,"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",2
"Sants, Barcelona, Catalunya ",1336,,,ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
"Frankfurt on the Main, Germany",1791,good morning coffee still wants,,en,"[[[7.976504, 49.929706], [7.976504, 50.009178], [8.137587, 50.009178], [8.137587, 49.929706]]]",2
"Milton, WV",389,the covid issue weak left wants gets shit together,,en,"[[[-82.530433, 38.375981], [-82.530433, 38.439347], [-82.349236, 38.439347], [-82.349236, 38.375981]]]",2
Barcelona,205,pues mirado ver si veia,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
"Brentwood, TN",911,guess deaths,,en,"[[[-86.869446, 35.939893], [-86.869446, 36.05065], [-86.686525, 36.05065], [-86.686525, 35.939893]]]",2
"Stockholm, Sweden",14,crazy bill gates doesnt evan hide,,en,"[[[14.143556, 59.997217], [14.143556, 60.419603], [15.245579, 60.419603], [15.245579, 59.997217]]]",2
"Sydney, New South Wales",1702,surely parliamentary approval government fly private citizen world,,en,"[[[150.520929, -34.118347], [150.520929, -33.578141], [151.343021, -33.578141], [151.343021, -34.118347]]]",1
"Soweto, South Africa",117,deep,,en,"[[[27.751856, -26.512649], [27.751856, -26.039628], [28.18434, -26.039628], [28.18434, -26.512649]]]",2
,1416,your life depends,,en,"[[[-94.421887, 44.852448], [-94.421887, 44.914174], [-94.333293, 44.914174], [-94.333293, 44.852448]]]",2
Barcelona,205,pensado tren,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1
France,12263,news,,en,"[[[-5.141593, 41.364659], [-5.141593, 51.088771], [9.559831, 51.088771], [9.559831, 41.364659]]]",2
"Long Beach, CA",1444,gonna take mask friday cause working friday start coughing,,en,"[[[-118.250227, 33.732905], [-118.250227, 33.885438], [-118.063194, 33.885438], [-118.063194, 33.732905]]]",2
,526,,,en,"[[[-78.916774, 42.696345], [-78.916774, 42.789724], [-78.783331, 42.789724], [-78.783331, 42.696345]]]",
,41,luckily globalists make olympic event covid could received,,en,"[[[101.615161, 3.0332], [101.615161, 3.244548], [101.758774, 3.244548], [101.758774, 3.0332]]]",2
"Oceanside, CA",66,give people need help,,en,"[[[-117.399853, 33.152639], [-117.399853, 33.299993], [-117.241905, 33.299993], [-117.241905, 33.152639]]]",2
Barcelona,581,en propuesta lectura sección rincón edición noviembre,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1
"Faaborg, Denmark",13202,the story declining infection numbers still seeing high numbers deaths,,en,"[[[10.360546, 54.942943], [10.360546, 55.221741], [10.812611, 55.221741], [10.812611, 54.942943]]]",2
Barcelona,267,acaba publicar foto centre cívic sagrada família,POINT (2.1765811 41.40589451),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
,159,no pacto toledo ataque pensiones públicas,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
"Oakland, California",458,a family story already way,,en,"[[[-84.057671, 9.926093], [-84.057671, 9.939167], [-84.039452, 9.939167], [-84.039452, 9.926093]]]",2
France,12263,news,,en,"[[[-5.141593, 41.364659], [-5.141593, 51.088771], [9.559831, 51.088771], [9.559831, 41.364659]]]",2
🇳🇱,1813,,,en,"[[[5.727031, 52.073262], [5.727031, 52.285554], [6.078537, 52.285554], [6.078537, 52.073262]]]",
"Praha, Česká republika",368,millions vaccines reach israel,,en,"[[[14.225243, 49.941904], [14.225243, 50.177256], [14.706508, 50.177256], [14.706508, 49.941904]]]",2
Barcelona,49,acaba publicar foto el spain,POINT (2.1907 41.4099),es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
"Barcelona, Spain",10,que ganas probar hacer guapas gracias font màgica montjuïc,POINT (2.15174586 41.37134962),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
Chennai,489,superb when credit must well done covid,,en,"[[[80.234885, 12.970918], [80.234885, 13.077871], [80.288726, 13.077871], [80.288726, 12.970918]]]",1
